,article_link,headline,is_sarcastic
0,https://dailybonnet.com/churchill-polar-bears-relocated-southern-manitoba/,Churchill Polar Bears to Be Relocated to Southern Manitoba,1
1,https://dailybonnet.com/abe-friesens-required-law-use-middle-initial/,All Abe Friesens Required By Law to Use Middle Initial,1
2,https://dailybonnet.com/manitoba-pastor-run-church-costa-rica/,Manitoba Pastor to Run His Church from Sunny Costa Rica,1
3,https://dailybonnet.com/mennonite-man-successfully-traces-ancestors-back-adam/,Mennonite Man Successfully Traces His Ancestors Back to Adam,1
4,https://dailybonnet.com/mennonite-man-creates-crokinole-curling-ice-fishing-hybrid/,Mennonite Man Creates Crokinole-Curling-Ice Fishing Hybrid,1
5,https://dailybonnet.com/uber-launches-service-amish-country/,Uber Launches Service in Amish Country,1
6,https://dailybonnet.com/us-department-education-bans-dystopian-novels/,US Department of Education Bans All Dystopian Novels,1
7,https://dailybonnet.com/mennonite-man-pays-tithe-chickens/,Mennonite Man Pays Tithe in Chickens,1
8,https://dailybonnet.com/hymn-606-undergo-major-overhaul/,Hymn 606 to Undergo Major Overhaul,1
9,https://dailybonnet.com/pacifist-lions-verge-extinction/,Pacifist Lions on Verge of Extinction,1
10,https://dailybonnet.com/mennonite-lingerie-now-available-aganethas-secret/,Mennonite Lingerie Now Available at Aganetha’s Secret,1
11,https://dailybonnet.com/treble-teens-teach-step-touch-new-generation-mennonites/,Treble Teens Teach ‘Step-touch’ to New Generation of Mennonites,1
12,https://dailybonnet.com/russian-mennonite-shocked-discover-hes-actually-dutch/,‘Russian Mennonite’ Shocked to Discover He’s Actually Dutch,1
13,https://dailybonnet.com/conservative-guide-mennonites/,How ‘Conservative’ Are You: A Guide for Mennonites,1
14,https://dailybonnet.com/thousands-mennonites-conscientiously-object-winter/,Thousands of Mennonites ‘Conscientiously Object’ to Winter,1
15,https://dailybonnet.com/mennonites-hold-annual-running-dairy-cows-pennsylvania-avenue-today/,Mennonites to Hold Annual ‘Running of the Dairy Cows’ Down Pennsylvania Avenue Today,1
16,https://dailybonnet.com/mrs-henry-l-funk-celebrates-fifty-years-husbands-name/,Mrs. Henry L. Funk Celebrates Fifty Years of Using Her Husband’s Name,1
17,https://dailybonnet.com/steinbach-mcc-store-takes-hardline-stance-doll-nudity/,Steinbach MCC Store Takes a Hardline Stance Against Doll Nudity,1
18,https://dailybonnet.com/mennonite-church-signs-pastor-massive-30-year-1-2-million-contract/,Mennonite Church Signs Pastor to Massive 30-Year $1.2 Million Contract,1
19,https://dailybonnet.com/mennonite-mafia-now-accepting-applications-2017-drug-smuggling-season/,Mennonite Mafia Now Accepting Applications for 2017 Drug-Smuggling Season,1
20,https://dailybonnet.com/calvinist-spies-hack-mennonite-church-board-election/,Calvinist Spies Hack Mennonite Church Board Election,1
21,https://dailybonnet.com/new-law-mandates-630-bedtime-mennonites/,New Law Mandates 6:30 Bedtime for Mennonites,1
22,https://dailybonnet.com/mennonite-woman-resolves-not-gossip-2017/,Mennonite Woman Resolves Not to Gossip in 2017,1
23,https://dailybonnet.com/mennonite-man-wins-award-most-submissive-wife/,Mennonite Man Wins Award for ‘Most Submissive Wife’,1
24,https://dailybonnet.com/missionaries-discover-new-position/,Missionaries Discover New Position,1
25,https://dailybonnet.com/trump-refuses-question-mennonite-reporter/,Trump Refuses Question from Mennonite Reporter,1
26,https://dailybonnet.com/free-schmaunt-fat-test-drive-vehicle/,Used Car Lot Offers Free Bucket of Schmaunt Fat with Every Test Drive,1
27,https://dailybonnet.com/authentic-mennonites-review-cbc-pure/,New CBC Show ‘Pure’ Gets An Enthusiastic ‘Oh ba yo’ From Knels and Annie Krahn,1
28,https://dailybonnet.com/man-buys-million-dollars-co-op-gas-huge-dividend-cheque/,Man Buys Over a Million Dollars in Co-op Gas Just to Get a Huge Dividend Cheque,1
29,https://dailybonnet.com/glossary-mennonite-profanity/,A Glossary of Mennonite Profanity,1
30,https://dailybonnet.com/inspired-ukrainians-mennonites-demand-christmas/,"Inspired by Ukrainians, Mennonites Demand Their Own Christmas",1
31,https://dailybonnet.com/mennonites-demand-three-kings-day-made-statutory-holiday/,‘Three King’s Day’ Cripples Winkler Economy,1
32,https://dailybonnet.com/mennonite-lady-caught-turning-around-risque-magazine-covers/,Mennonite Lady Caught Turning Around Risqué Magazine Covers,1
33,https://dailybonnet.com/grandma-penner-still-rewinding-tape-dr-zhivago/,Grandma Penner’s VCR: Rewinding ‘Dr. Zhivago’ Since 1988,1
34,https://dailybonnet.com/fiery-romance-ignites-daily-bonnet-comment-section/,Fiery Romance Ignites in Daily Bonnet Comment Section,1
35,https://dailybonnet.com/letter-solves-israeli-palestnian-conflict/,Letter to Small Town Paper Solves Israeli-Palestinian Conflict,1
36,https://dailybonnet.com/mysterious-steinbach-mineral-claims-finally-revealed/,Mysterious Steinbach Mineral Claims Finally Revealed,1
37,https://dailybonnet.com/mennonite-woman-wins-lifetime-achievement-oscar/,Mennonite Woman Wins Lifetime Achievement Oscar,1
38,https://dailybonnet.com/young-man-swears-off-farmer-sausage-discovers-truth-natural-casings/,Young Man Swears Off Farmer Sausage When He Discovers the Truth About Natural Casings,1
39,https://dailybonnet.com/adventurous-mennonite-couple-discover-whole-world-beyond-st-vital-centre/,Adventurous Mennonite Couple Discovers a Whole World Beyond St. Vital Centre,1
40,https://dailybonnet.com/knels-annie-krahn-make-oscar-picks/,Knels and Annie Krahn Make Their Oscar Picks,1
41,https://dailybonnet.com/mennonite-lady-totally-wastes-allotted-fifteen-minutes-internet-time/,Mennonite Lady Totally Wastes Her Allotted Fifteen Minutes of Internet Time,1
42,https://dailybonnet.com/mennonite-man-earns-place-heaven-attending-evening-service/,Mennonite Man Earns Place in Heaven after Attending Evening Service,1
43,https://dailybonnet.com/dads-jokes-fall-flat-local-smittys/,Dad’s Jokes Fall Flat at Local Smitty’s,1
44,https://dailybonnet.com/mennonite-pickers-find-treasure-trove-local-dump/,‘Mennonite Pickers’ Find Treasure Trove at Local Dump,1
45,https://dailybonnet.com/stars-hymn-sing-now/,Stars of ‘Hymn Sing’: Where Are They Now?,1
46,https://dailybonnet.com/public-uproar-thousands-refugees-descend-western-canada/,Public Uproar As Thousands of Refugees Descend on Western Canada,1
47,https://dailybonnet.com/fists-fly-loewen-family-sits-penner-family-pew/,Fists Fly After Loewen Family Sits in Penner Family Pew,1
48,https://dailybonnet.com/kurt-cobain-age-uncle-peter-today/,Kurt Cobain Would be the Same Age as Your Uncle Peter Today,1
49,https://dailybonnet.com/local-restaurant-prefers-canoes-mennonites/,Local Restaurant Prefers Canoes to Mennonites,1
50,https://dailybonnet.com/superstore-lot-fills-liquor-mart-customers/,Superstore Lot Fills Up With Liquor Mart Customers,1
51,https://dailybonnet.com/national-hotel-chain-replaces-gideon-bibles-god-delusion/,National Hotel Chain to Replace Gideon Bibles With ‘The God Delusion’,1
52,https://dailybonnet.com/harry-dyck-considers-name-change/,Harry Dyck Considers Name Change,1
53,https://dailybonnet.com/trump-trudeau-united-war-against-democracy/,Trump and Trudeau United in the War Against Democracy,1
54,https://dailybonnet.com/abes-treatment-centre-opens-winkler/,Abes Treatment Centre Opens in Winkler,1
55,https://dailybonnet.com/local-kleine-gemeinde-not-kleine-massive-expansion/,Local Kleine Gemeinde Not So Kleine After Massive Expansion,1
56,https://dailybonnet.com/ten-epic-mennonite-dishes-wish-real/,Ten Epic Mennonite Dishes We Wish Were Real,1
57,https://dailybonnet.com/mennonite-woman-consults-fifty-shades-grey-wardrobe-advice/,Mennonite Woman Consults ‘Fifty Shades of Grey’ for Wardrobe Advice,1
58,https://dailybonnet.com/mennonite-woman-become-unequally-yoked-lutheran-man/,Mennonite Woman to Become ‘Unequally Yoked’ With Lutheran Man,1
59,https://dailybonnet.com/kids-grandmas-tonight-mennonite-couple-finally-gets-chance-play-scrabble/,"With the Kids at Grandma’s Tonight, Mennonite Couple Finally Gets a Chance to Play Scrabble",1
60,https://dailybonnet.com/mennonite-lady-spend-evening-reading-amish-romance-books/,Mennonite Lady to Spend the Evening Reading Amish Romance Books,1
61,https://dailybonnet.com/mennonite-rapper-corny-reimer-wins-big-2017-grammy-awards/,Mennonite Rapper Corny Reimer Wins Big at the 2017 Grammy Awards,1
