,headline,article_link,is_sarcastic
0,22 year old discovers new green job is actually vegetable picking,https://rochdaleherald.co.uk/2020/07/08/22-year-old-discovers-new-green-job-is-actually-vegetable-picking,1
1,Drunk driver that crashed car into tree blames tree for causing accident,https://rochdaleherald.co.uk/2020/07/06/drunk-driver-that-crashed-car-into-tree-blames-tree-for-causing-accident,1
2,Scientists observe Burnley residents using simple tools and communicating in primitive grunts,https://rochdaleherald.co.uk/2020/06/23/scientists-observe-burnley-residents-using-simple-tools-and-communicating-in-primitive-grunts,1
3,Burnley residents fear diversity means marrying outside of immediate family,https://rochdaleherald.co.uk/2020/06/23/burnley-residents-fear-diversity-means-marrying-outside-of-immediate-family,1
4,Bears cleared of ‘shitting in the woods’ says watchdog,https://rochdaleherald.co.uk/2021/03/31/bears-cleared-of-shitting-in-the-woods-says-panel,1
5,"Earthquake rescue workers assured Leighton Buzzard is fine, it’s supposed to look like that",https://rochdaleherald.co.uk/2020/09/22/earthquake-rescue-workers-assured-leighton-buzzard-is-fine-its-supposed-to-look-like-that,1
6,Grouse shoots report sudden increase in children’s birthday party bookings,https://rochdaleherald.co.uk/2020/09/15/grouse-shoots-report-sudden-increase-in-childrens-birthday-party-bookings,1
7,Criminals allowed to break law in ‘specific and limited way’ ,https://rochdaleherald.co.uk/2020/09/09/criminals-allowed-to-break-law-in-specific-and-limited-way,1
8,Deadly brain eating microbe starves to death in Texas water supply,https://rochdaleherald.co.uk/2020/09/27/deadly-brain-eating-microbe-starves-to-death-in-texas-water-supply,1
9,Tommy Robinson begins campaign to have himself deported from Spain,https://rochdaleherald.co.uk/2020/07/29/tommy-robinson-begins-campaign-to-have-himself-deported-from-spain,1
10,Man that spent last month saying all lives matter furious at 3 million Hong Kong residents being offered UK citizenship,https://rochdaleherald.co.uk/2020/07/01/man-that-spent-last-month-saying-all-lives-matter-furious-at-3-million-hong-kong-residents-being-offered-uk-citizenship,1
11,Trump tells reporters that he’s cured Megadeth,https://rochdaleherald.co.uk/2020/06/17/trump-tells-reporters-that-hes-cured-megadeth,1
12,Bears cleared of ‘shitting in the woods’ says watchdog,https://rochdaleherald.co.uk/2021/03/31/bears-cleared-of-shitting-in-the-woods-says-panel,1
13,Chris Witty signs lucrative sponsorship deal with Andrex toilet paper,https://rochdaleherald.co.uk/2020/09/21/chris-witty-signs-lucrative-sponsorship-deal-with-andrex-toilet-paper,1
14,Tories “Limited and specific” law breaking given thumbs up by criminals,https://rochdaleherald.co.uk/2020/09/16/limited-and-specific-law-breaking-given-thumbs-up-by-criminals,1
15,NHS Test and Trace Centre discovered on Venus,https://rochdaleherald.co.uk/2020/09/16/nhs-test-and-trace-centre-discovered-on-venus,1
16,Turn your house into a Costa and other tips for hosting gatherings of more than 6 people,https://rochdaleherald.co.uk/2020/09/09/turn-your-house-into-a-costa-and-other-tips-for-hosting-gatherings-of-more-than-6-people,1
17,Scary brexiteer “Mogo” revealed to be a hoax,https://rochdaleherald.co.uk/2019/02/28/scary-brexiteer-mogo-revealed-to-be-a-hoax,1
18,The Rochdale Herald Christmas Top Ten – Numero Uno – Glastonbury food vendors uproar after Jeremy Corbyn feeds festival with five loaves and two fish,https://rochdaleherald.co.uk/2017/12/24/rochdale-herald-christmas-top-ten-numero-uno-glastonbury-food-vendors-uproar-jeremy-corbyn-feeds-festival-five-loaves-two-fish,1
19,The Rochdale Herald Christmas Top Ten – Number 2 – Prince Philip deemed fit to work after ATOS work capability assessment,https://rochdaleherald.co.uk/2017/12/23/rochdale-herald-christmas-top-ten-number-2-prince-philip-deemed-fit-work-atos-work-capability-assessment,1
20,Bears cleared of ‘shitting in the woods’ says watchdog,https://rochdaleherald.co.uk/2021/03/31/bears-cleared-of-shitting-in-the-woods-says-panel,1
21,Chris Rea not driving home for Christmas as Teesside enters Tier 3 Covid restrictions,https://rochdaleherald.co.uk/2020/12/02/chris-rea-not-driving-home-for-christmas-as-teesside-enters-tier-3-covid-restrictions,1
22,Deadly brain eating microbe starves to death in Texas water supply,https://rochdaleherald.co.uk/2020/09/27/deadly-brain-eating-microbe-starves-to-death-in-texas-water-supply,1
23,"Earthquake rescue workers assured Leighton Buzzard is fine, it’s supposed to look like that",https://rochdaleherald.co.uk/2020/09/22/earthquake-rescue-workers-assured-leighton-buzzard-is-fine-its-supposed-to-look-like-that,1
24,Chris Witty signs lucrative sponsorship deal with Andrex toilet paper,https://rochdaleherald.co.uk/2020/09/21/chris-witty-signs-lucrative-sponsorship-deal-with-andrex-toilet-paper,1
25,Government appoints Franz Kafka as new Head of Test and Trace service,https://rochdaleherald.co.uk/2020/09/17/government-appoints-franz-kafka-as-new-head-of-test-and-trace-service,1
26,22 year old discovers new green job is actually vegetable picking,https://rochdaleherald.co.uk/2020/07/08/22-year-old-discovers-new-green-job-is-actually-vegetable-picking,1
27,Drunk driver that crashed car into tree blames tree for causing accident,https://rochdaleherald.co.uk/2020/07/06/drunk-driver-that-crashed-car-into-tree-blames-tree-for-causing-accident,1
28,Scientists observe Burnley residents using simple tools and communicating in primitive grunts,https://rochdaleherald.co.uk/2020/06/23/scientists-observe-burnley-residents-using-simple-tools-and-communicating-in-primitive-grunts,1
29,Burnley residents fear diversity means marrying outside of immediate family,https://rochdaleherald.co.uk/2020/06/23/burnley-residents-fear-diversity-means-marrying-outside-of-immediate-family,1
30,Bears cleared of ‘shitting in the woods’ says watchdog,https://rochdaleherald.co.uk/2021/03/31/bears-cleared-of-shitting-in-the-woods-says-panel,1
31,"Earthquake rescue workers assured Leighton Buzzard is fine, it’s supposed to look like that",https://rochdaleherald.co.uk/2020/09/22/earthquake-rescue-workers-assured-leighton-buzzard-is-fine-its-supposed-to-look-like-that,1
32,Grouse shoots report sudden increase in children’s birthday party bookings,https://rochdaleherald.co.uk/2020/09/15/grouse-shoots-report-sudden-increase-in-childrens-birthday-party-bookings,1
33,Criminals allowed to break law in ‘specific and limited way’ ,https://rochdaleherald.co.uk/2020/09/09/criminals-allowed-to-break-law-in-specific-and-limited-way,1
34,Deadly brain eating microbe starves to death in Texas water supply,https://rochdaleherald.co.uk/2020/09/27/deadly-brain-eating-microbe-starves-to-death-in-texas-water-supply,1
35,Tommy Robinson begins campaign to have himself deported from Spain,https://rochdaleherald.co.uk/2020/07/29/tommy-robinson-begins-campaign-to-have-himself-deported-from-spain,1
36,Man that spent last month saying all lives matter furious at 3 million Hong Kong residents being offered UK citizenship,https://rochdaleherald.co.uk/2020/07/01/man-that-spent-last-month-saying-all-lives-matter-furious-at-3-million-hong-kong-residents-being-offered-uk-citizenship,1
37,Trump tells reporters that he’s cured Megadeth,https://rochdaleherald.co.uk/2020/06/17/trump-tells-reporters-that-hes-cured-megadeth,1
38,Bears cleared of ‘shitting in the woods’ says watchdog,https://rochdaleherald.co.uk/2021/03/31/bears-cleared-of-shitting-in-the-woods-says-panel,1
39,Chris Witty signs lucrative sponsorship deal with Andrex toilet paper,https://rochdaleherald.co.uk/2020/09/21/chris-witty-signs-lucrative-sponsorship-deal-with-andrex-toilet-paper,1
40,Tories “Limited and specific” law breaking given thumbs up by criminals,https://rochdaleherald.co.uk/2020/09/16/limited-and-specific-law-breaking-given-thumbs-up-by-criminals,1
41,NHS Test and Trace Centre discovered on Venus,https://rochdaleherald.co.uk/2020/09/16/nhs-test-and-trace-centre-discovered-on-venus,1
42,Turn your house into a Costa and other tips for hosting gatherings of more than 6 people,https://rochdaleherald.co.uk/2020/09/09/turn-your-house-into-a-costa-and-other-tips-for-hosting-gatherings-of-more-than-6-people,1
43,Scary brexiteer “Mogo” revealed to be a hoax,https://rochdaleherald.co.uk/2019/02/28/scary-brexiteer-mogo-revealed-to-be-a-hoax,1
44,The Rochdale Herald Christmas Top Ten – Numero Uno – Glastonbury food vendors uproar after Jeremy Corbyn feeds festival with five loaves and two fish,https://rochdaleherald.co.uk/2017/12/24/rochdale-herald-christmas-top-ten-numero-uno-glastonbury-food-vendors-uproar-jeremy-corbyn-feeds-festival-five-loaves-two-fish,1
45,The Rochdale Herald Christmas Top Ten – Number 2 – Prince Philip deemed fit to work after ATOS work capability assessment,https://rochdaleherald.co.uk/2017/12/23/rochdale-herald-christmas-top-ten-number-2-prince-philip-deemed-fit-work-atos-work-capability-assessment,1
46,Bears cleared of ‘shitting in the woods’ says watchdog,https://rochdaleherald.co.uk/2021/03/31/bears-cleared-of-shitting-in-the-woods-says-panel,1
47,Chris Rea not driving home for Christmas as Teesside enters Tier 3 Covid restrictions,https://rochdaleherald.co.uk/2020/12/02/chris-rea-not-driving-home-for-christmas-as-teesside-enters-tier-3-covid-restrictions,1
48,Deadly brain eating microbe starves to death in Texas water supply,https://rochdaleherald.co.uk/2020/09/27/deadly-brain-eating-microbe-starves-to-death-in-texas-water-supply,1
49,"Earthquake rescue workers assured Leighton Buzzard is fine, it’s supposed to look like that",https://rochdaleherald.co.uk/2020/09/22/earthquake-rescue-workers-assured-leighton-buzzard-is-fine-its-supposed-to-look-like-that,1
50,Chris Witty signs lucrative sponsorship deal with Andrex toilet paper,https://rochdaleherald.co.uk/2020/09/21/chris-witty-signs-lucrative-sponsorship-deal-with-andrex-toilet-paper,1
