,headline,article_link,is_sarcastic
0,Millennial Can’t Afford Home After Spending All Their Money Bailing Out Gerry Harvey,https://www.betootaadvocate.com/breaking-news/millennial-cant-afford-home-after-spending-all-their-money-bailing-out-gerry-harvey/,1
1,Oh No: Best Man’s Speech Got Enough Laughs For Him To Actually Give Stand-Up A Whirl,https://www.betootaadvocate.com/breaking-news/oh-no-best-mans-speech-got-enough-laughs-for-him-to-actually-give-stand-up-a-whirl/,1
2,Regional Dad Offers Monosyllabic Words Of Approval To Daughter’s New Outfits,https://www.betootaadvocate.com/breaking-news/regional-dad-offers-mono-symbolic-words-of-approval-to-daughters-new-outfits/,1
3,"“Yeah I’ve Got The AstraZeneca, Just Leaving Mine Now” Scotty Texts Victoria, From The Shower",https://www.betootaadvocate.com/breaking-news/yeah-ive-got-the-astrazeneca-just-leaving-mine-now-scotty-texts-victoria-from-the-shower/,1
4,QLD Government Purchases 100 Old Nokia Batteries To Sure Up State’s Electricity Supply,https://www.betootaadvocate.com/breaking-news/qld-government-purchases-100-old-nokia-batteries-to-sure-up-states-electricity-supply/,1
5,Motormouth Boyfriend Thinks Most Interesting Aspect Of Movie Is Where He’s Seen Actors Before,https://www.betootaadvocate.com/breaking-news/motormouth-boyfriend-thinks-most-interesting-aspect-of-movie-is-where-hes-seen-actors-before/,1
6,Intern Patiently Waits Until 5:05 To Pack Up Desk So They Don’t Look Too Eager To Leave,https://www.betootaadvocate.com/breaking-news/intern-patiently-waits-until-505-to-pack-up-desk-so-they-dont-look-too-eager-to-leave/,1
7,Report: 90% Of Crusty White Dogs Named Either Molly Or Coco,https://www.betootaadvocate.com/breaking-news/report-90-of-crusty-white-dogs-named-either-molly-or-coco/,1
8,Local Man Saves Turtle From Having Straw Pulled Out Of Its Nose By Finding A Bin,https://www.betootaadvocate.com/breaking-news/local-man-saves-turtle-from-having-straw-pulled-out-of-its-nose-by-finding-a-bin/,1
9,Report Finds Extension Cord Either 20 Centimetres Too Short Or 20 Metres Too Long,https://www.betootaadvocate.com/breaking-news/report-finds-extension-cord-either-20-centimetres-too-short-or-20-metres-too-long/,1
10,Promising Denim Jacket Ruined By Bejewelled Butterfly Pattern On Back,https://www.betootaadvocate.com/breaking-news/promising-denim-jacket-ruined-by-bejewelled-butterfly-pattern-on-back/,1
11,Report: 90% Of Business Students Recent School Leavers Whose Parents Forced Them To Go To Uni,https://www.betootaadvocate.com/breaking-news/report-90-of-business-students-recent-school-leavers-whose-parents-forced-them-to-go-to-uni/,1
12,Man Who Just Sank $300 Into Pokies Thrills Mates With Tale of Incredible $60 Feature,https://www.betootaadvocate.com/breaking-news/man-who-just-sank-300-into-pokies-thrills-mates-with-tale-of-incredible-60-feature/,1
