,headline,article_link,is_sarcastic
0,Southgate selects 26 goalkeepers,http://www.newsbiscuit.com/2021/06/07/southgate-selects-26-goalkeepers/,1
1,Hospitality Crisis: BBC to Show “Great British Wait Off”,http://www.newsbiscuit.com/2021/06/06/hospitality-crisis-bbc-to-show-great-british-wait-off/,1
2,China says ‘nothing to see here’ on Tiananmen anniversary,http://www.newsbiscuit.com/2021/06/06/china-says-nothing-to-see-here-on-tiananmen-anniversary/,1
3,Top Gear presenters to pick up remaining audience on their way to TV studios,http://www.newsbiscuit.com/2021/06/06/top-gear-presenters-to-pick-up-remaining-audience-on-their-way-to-tv-studios/,1
4,British holidaymakers jubilant as budget destination Mustique goes on green list,http://www.newsbiscuit.com/2021/06/06/british-holidaymakers-jubilant-as-budget-destination-mustique-goes-on-green-list/,1
5,Could £1.795m life-saving drug have used cheaper packaging?,http://www.newsbiscuit.com/2021/06/05/could-1-795m-life-saving-drug-have-used-cheaper-packaging/,1
6,Schoolchildren resolve to call all fat kids Freddy from now on,http://www.newsbiscuit.com/2021/06/04/schoolchildren-resolve-to-call-all-fat-kids-freddy-from-now-on/,1
7,Call of Duty to become Call of Nature,http://www.newsbiscuit.com/2021/06/04/call-of-duty-to-become-call-of-nature/,1
8,"Greek economy requires sacrifice to the Gods, says IMF",http://www.newsbiscuit.com/2021/06/04/greek-economy-requires-sacrifice-to-the-gods-says-imf/,1
9,Wallet Inspectors to be nationalized,http://www.newsbiscuit.com/2021/06/04/wallet-inspectors-to-be-nationalized/,1
10,Princess’s choice ‘not to have Covid jab in her bottom’ prompts royal bum chat.,http://www.newsbiscuit.com/2021/06/03/princesss-choice-not-to-have-covid-jab-in-her-bottom-prompts-royal-bum-chat/,1
11,New Israeli coalition government accidentally includes Hamas,http://www.newsbiscuit.com/2021/06/03/new-israeli-coalition-government-accidentally-includes-hamas/,1
12,Hancock family to make Sunday Times rich list.,http://www.newsbiscuit.com/2021/06/03/hancock-family-to-make-sunday-times-rich-list/,1
13,Johnson reaches zero adulteries for first time,http://www.newsbiscuit.com/2021/06/03/johnson-reaches-zero-adulteries-for-first-time/,1
14,Starmerbot still unable to simulate human facial expressions.,http://www.newsbiscuit.com/2021/06/03/starmerbot-still-unable-to-simulate-human-facial-expressions/,1
15,Government’s “Name your own Covid variant” scheme a runaway success,http://www.newsbiscuit.com/2021/06/02/governments-name-your-own-covid-variant-scheme-a-runaway-success/,1
16,Ninjas to be trained in stealth by parcel delivery guys,http://www.newsbiscuit.com/2021/06/02/ninjas-to-be-trained-in-stealth-by-parcel-delivery-guys/,1
17,Man thrown out of internet forum for ‘knowing stuff’,http://www.newsbiscuit.com/2021/06/02/man-thrown-out-of-internet-forum-for-knowing-stuff/,1
18,Smart money on ‘by Wednesday’ for how soon Boris will commit adultery,http://www.newsbiscuit.com/2021/06/01/smart-money-on-by-wednesday-for-how-soon-boris-will-commit-adultery/,1
19,Questions British Workers Dread Every Tuesday Following A Bank Holiday,http://www.newsbiscuit.com/2021/05/31/questions-british-workers-dread-every-tuesday-following-a-bank-holiday/,1
20,Isle of Wight Closes Airspace to Belarus,http://www.newsbiscuit.com/2021/05/31/isle-of-wight-closes-airspace-to-belarus/,1
21,People Who Love Christmas Attempting to Convince Everyone Junemas is a Thing,http://www.newsbiscuit.com/2021/05/30/people-who-love-christmas-attempting-to-convince-everyone-junemas-is-a-thing/,1
22,Lord Brownlow ‘new face of Changing Rooms’,http://www.newsbiscuit.com/2021/05/30/lord-brownlow-new-face-of-changing-rooms/,1
23,Election rules ‘prevent BBC from describing Boris as c*nt’,http://www.newsbiscuit.com/2021/05/30/election-rules-prevent-bbc-from-describing-boris-as-cnt/,1
24,Chess not sexy again,http://www.newsbiscuit.com/2021/05/30/chess-not-sexy-again/,1
25,Police fail to find nauseatingly grizzly remains at Fred West Café,http://www.newsbiscuit.com/2021/05/29/police-fail-to-find-nauseatingly-grizzly-remains-at-fred-west-cafe/,1
26,"Kim Jong Un chilling out, maxing, relaxing all cool",http://www.newsbiscuit.com/2021/05/29/kim-jong-un-chilling-out-maxing-relaxing-all-cool/,1
27,All of Britain will be in Garden Hot Tub by July,http://www.newsbiscuit.com/2021/05/29/all-of-britain-will-be-in-garden-hot-tub-by-july/,1
28,Traffic on M25 heeding stay put notices.  More soon,http://www.newsbiscuit.com/2021/05/29/traffic-on-m25-heeding-stay-put-notices-more-soon/,1
29,Glasgow Stays at Level 3. Orkneys Stay in 1953.  More soon,http://www.newsbiscuit.com/2021/05/29/glasgow-stays-at-level-3-orkneys-stay-in-1953-more-soon/,1
30,Rare Snapchatters draw huge crowds to Essex garden,http://www.newsbiscuit.com/2021/05/28/rare-snapchatters-draw-huge-crowds-to-essex-garden/,1
31,Arsenal sign Messi’s shadow,http://www.newsbiscuit.com/2021/05/28/arsenal-sign-messis-shadow/,1
32,Dominic Cummings Gives Evidence From Glass House In Barnard Castle,http://www.newsbiscuit.com/2021/05/27/dominic-cummings-gives-evidence-from-glass-house-in-barnard-castle/,1
33,Priti Patel earns blue belt in Brazilian Jiu Jitsu,http://www.newsbiscuit.com/2021/05/26/priti-patel-earns-blue-belt-in-brazilian-jiu-jitsu/,1
