,headline,article_link,is_sarcastic
0,Nation Reeling After Prime Minister Trudeau Forgets Alberta in Canada Day Speech,http://www.truenorthtimes.ca/2017/07/02/trudeau-forgets-alberta-canada-day-speech/,1
1,"Kevin O’Leary Quits Conservative Leadership Race, Blames Quebec",http://www.truenorthtimes.ca/2017/04/26/kevin-oleary-quits-conservative-leadership-race-blames-quebec/,1
2,Globe & Mail Columnist Claims She Breastfed Michael Chong’s Son (Without His Knowledge),http://www.truenorthtimes.ca/2017/03/27/globe-mail-columnist-claims-breastfed-michael-chongs-son-without-knowledge/,1
3,(Interview) Will Michael Chong Make Canada Great Again?,http://www.truenorthtimes.ca/2017/03/22/interview-michael-chong/,1
4,Kellie Leitch Lets Her Canadian Values Hang Out,http://www.truenorthtimes.ca/2017/02/02/kellie-leitch-lets-canadian-values/,1
5,"Trudeau Fuddle Duddles, Leaves Path of Devastation in House of Commons",http://www.truenorthtimes.ca/2016/05/18/trudeau-fuddle-duddles-leaves-path-devastation-house-commons/,1
6,Top 10 Picks For Post-Mulcair NDP Leadership,http://www.truenorthtimes.ca/2016/04/10/top-10-picks-next-ndp-leader/,1
7,60 Minutes: Kim Catrall Is Apparently Justin Trudeau’s Mom,http://www.truenorthtimes.ca/2016/03/07/kim-catrall-apparently-justin-trudeaus-mom/,1
8,Trudeau Sketch Sells Way Above Asking Price,http://www.truenorthtimes.ca/2016/02/29/trudeau-sketch-sells-way-asking-price/,1
9,Surprise! Nathan Cullen Supports Electoral Reform,http://www.truenorthtimes.ca/2016/02/08/surprise-nathan-cullen-supports-reform/,1
10,Death by Pension Plan: The Auditor General’s Report,http://www.truenorthtimes.ca/2016/02/04/death-pension-plan-auditor-generals-report/,1
11,QUIZ – Who Said It: Kevin O’Leary or Donald Trump?,http://www.truenorthtimes.ca/2016/01/25/quiz-who-said-it-kevin-oleary-or-donald-trump/,1
12,Cabinet Comparison: Trudeau 2015 vs Harper 2011,http://www.truenorthtimes.ca/2015/11/06/cabinet-trudeau-vs-harper/,1
13,Democratic Party is Coming to Canada (Maybe),http://www.truenorthtimes.ca/2015/11/02/democratic-party-coming-canada-maybe/,1
14,Top 10 Picks For Next Conservative Leader,http://www.truenorthtimes.ca/2015/10/22/top-10-picks-next-conservative-leader/,1
15,"Justin Trudeau: Ready or Not, Here He Comes!",http://www.truenorthtimes.ca/2015/10/20/justin-trudeau-ready-not-comes/,1
16,Stephen Harper To Resign as Prime Minister,http://www.truenorthtimes.ca/2015/10/20/stephen-harper-resigns-prime-minister/,1
17,"Mulcair: New Democrat, Old-School Bland Politician",http://www.truenorthtimes.ca/2015/10/19/mulcair-new-democrat-old-school-bland-politician/,1
18,TNT Projection: Trudeau to Form Liberal Majority Government,http://www.truenorthtimes.ca/2015/10/19/tnt-projection-trudeau-form-liberal-majority-government/,1
19,LIVE Canadian Election Coverage,http://www.truenorthtimes.ca/2015/10/19/live-canadian-election-coverage/,1
20,Is Canada Ready to Fulfill the Nixon Prophecy?,http://www.truenorthtimes.ca/2015/10/19/canada-ready-fulfill-nixon-prophecy/,1
21,(TIMELINE) The Chronicles of Elizabeth May,http://www.truenorthtimes.ca/2015/10/18/timeline-the-chronicles-of-elizabeth-may/,1
22,(TIMELINE) The Chronicles of Gilles Duceppe,http://www.truenorthtimes.ca/2015/10/17/timeline-the-chronicles-of-gilles-duceppe/,1
23,(TIMELINE) The Chronicles of Justin Trudeau,http://www.truenorthtimes.ca/2015/10/16/timeline-the-chronicles-of-justin-trudeau/,1
24,(TIMELINE) The Chronicles of Thomas Mulcair,http://www.truenorthtimes.ca/2015/10/15/timeline-the-chronicles-of-thomas-mulcair/,1
25,(TIMELINE) The Chronicles of Stephen Harper,http://www.truenorthtimes.ca/2015/10/14/timeline-the-chronicles-of-stephen-harper/,1
26,Trudeau Won’t Set Targets for Emissions Reduction,http://www.truenorthtimes.ca/2015/10/12/trudeau-wont-set-targets-emissions-reduction/,1
27,“Stephen Harper Going Away Party” Organized on Facebook,http://www.truenorthtimes.ca/2015/10/11/stephen-harper-going-away-party-organized-facebook/,1
28,Harper Promises “Tax Lock”,http://www.truenorthtimes.ca/2015/10/05/harper-promises-tax-lock/,1
29,French Debate Adds Exotic Flair to Same Old Story,http://www.truenorthtimes.ca/2015/10/02/french-debate-adds-exotic-flair-old-story/,1
30,Liberal Cheryl Thomas Resigns After True North Times Revelations,http://www.truenorthtimes.ca/2015/09/30/liberal-cheryl-thomas-resigns-true-north-times-revelations/,1
31,"Conservative Candidate Martin Barker Decries Quebec “Money Pit”, Says C-51 Could Prevent Air India",http://www.truenorthtimes.ca/2015/09/26/conservative-candidate-martin-barker-decries-quebec-money-pit-says-c-51-prevent-air-india/,1
32,Conservative Candidate Joe Daniel Offers Thoughts on Muslims,http://www.truenorthtimes.ca/2015/09/25/conservative-candidate-joe-daniel-offers-thoughts-muslims/,1
33,Stefan Jonasson’s Campaign Site Down — Casualty of The True North Times?,http://www.truenorthtimes.ca/2015/09/24/stefan-jonassons-campaign-site-casualty-true-north-times/,1
34,NDP Candidate Alex Johnstone “didn’t know what Auschwitz was” until Facebook Comment Scandal,http://www.truenorthtimes.ca/2015/09/23/ndp-candidate-alex-johnstone-didnt-know-auschwitz-facebook-comment-scandal/,1
35,Liberal Candidate Peter Njenga Compared Himself to Hitler,http://www.truenorthtimes.ca/2015/09/23/liberal-candidate-peter-njenga-compared-hitler/,1
36,NDP Candidate Alex Johnstone Made a Dick Joke About Auschwitz,http://www.truenorthtimes.ca/2015/09/22/ndp-candidate-alex-johnstone-made-dick-joke-auschwitz/,1
37,Nine Candidate Scandals in Nine Days: A TNT Exclusive,http://www.truenorthtimes.ca/2015/09/21/candidate-scandals-election-exclusive/,1
